pdf_url,question,politician,lastname,firstname
http://interactive.guim.co.uk/australia/2015/jan/0_Amery_Richard.pdf,"Transcribe the register of interests for Amery, Richard","Amery, Richard",Amery,Richard
http://interactive.guim.co.uk/australia/2015/jan/10_Bromhead_Stephen.pdf,"Transcribe the register of interests for Bromhead, Stephen","Bromhead, Stephen",Bromhead,Stephen
http://interactive.guim.co.uk/australia/2015/jan/11_Brookes_Glenn.pdf,"Transcribe the register of interests for Brookes, Glenn","Brookes, Glenn",Brookes,Glenn
http://interactive.guim.co.uk/australia/2015/jan/12_Burney_Linda.pdf,"Transcribe the register of interests for Burney, Linda","Burney, Linda",Burney,Linda
http://interactive.guim.co.uk/australia/2015/jan/13_Burton_Cherie.pdf,"Transcribe the register of interests for Burton, Cherie","Burton, Cherie",Burton,Cherie
http://interactive.guim.co.uk/australia/2015/jan/14_Casuscelli_Charles.pdf,"Transcribe the register of interests for Casuscelli, Charles","Casuscelli, Charles",Casuscelli,Charles
http://interactive.guim.co.uk/australia/2015/jan/15_Collier_Barry.pdf,"Transcribe the register of interests for Collier, Barry","Collier, Barry",Collier,Barry
http://interactive.guim.co.uk/australia/2015/jan/16_Conolly_Kevin.pdf,"Transcribe the register of interests for Conolly, Kevin","Conolly, Kevin",Conolly,Kevin
http://interactive.guim.co.uk/australia/2015/jan/17_Constance_Andrew.pdf,"Transcribe the register of interests for Constance, Andrew","Constance, Andrew",Constance,Andrew
http://interactive.guim.co.uk/australia/2015/jan/18_Coure_Mark.pdf,"Transcribe the register of interests for Coure, Mark","Coure, Mark",Coure,Mark
http://interactive.guim.co.uk/australia/2015/jan/19_Daley_Michael.pdf,"Transcribe the register of interests for Daley, Michael","Daley, Michael",Daley,Michael
http://interactive.guim.co.uk/australia/2015/jan/1_Anderson_Kevin.pdf,"Transcribe the register of interests for Anderson, Kevin","Anderson, Kevin",Anderson,Kevin
http://interactive.guim.co.uk/australia/2015/jan/20_Davies_Tanya.pdf,"Transcribe the register of interests for Davies, Tanya","Davies, Tanya",Davies,Tanya
http://interactive.guim.co.uk/australia/2015/jan/21_Dominello_Victor.pdf,"Transcribe the register of interests for Dominello, Victor","Dominello, Victor",Dominello,Victor
http://interactive.guim.co.uk/australia/2015/jan/22_Doyle_Bryan.pdf,"Transcribe the register of interests for Doyle, Bryan","Doyle, Bryan",Doyle,Bryan
http://interactive.guim.co.uk/australia/2015/jan/23_Edwards_Garry.pdf,"Transcribe the register of interests for Edwards, Garry","Edwards, Garry",Edwards,Garry
http://interactive.guim.co.uk/australia/2015/jan/24_Elliott_David.pdf,"Transcribe the register of interests for Elliott, David","Elliott, David",Elliott,David
http://interactive.guim.co.uk/australia/2015/jan/25_Evans_Lee.pdf,"Transcribe the register of interests for Evans, Lee","Evans, Lee",Evans,Lee
http://interactive.guim.co.uk/australia/2015/jan/26_Flowers_John.pdf,"Transcribe the register of interests for Flowers, John","Flowers, John",Flowers,John
http://interactive.guim.co.uk/australia/2015/jan/27_Fraser_Andrew.pdf,"Transcribe the register of interests for Fraser, Andrew","Fraser, Andrew",Fraser,Andrew
http://interactive.guim.co.uk/australia/2015/jan/28_Furolo_Robert.pdf,"Transcribe the register of interests for Furolo, Robert","Furolo, Robert",Furolo,Robert
http://interactive.guim.co.uk/australia/2015/jan/29_Gee_Andrew.pdf,"Transcribe the register of interests for Gee, Andrew","Gee, Andrew",Gee,Andrew
http://interactive.guim.co.uk/australia/2015/jan/2_Aplin_Greg.pdf,"Transcribe the register of interests for Aplin, Greg","Aplin, Greg",Aplin,Greg
http://interactive.guim.co.uk/australia/2015/jan/30_George_Thomas.pdf,"Transcribe the register of interests for George, Thomas","George, Thomas",George,Thomas
http://interactive.guim.co.uk/australia/2015/jan/31_Gibbons_Melanie.pdf,"Transcribe the register of interests for Gibbons, Melanie","Gibbons, Melanie",Gibbons,Melanie
http://interactive.guim.co.uk/australia/2015/jan/32_Goward_Pru.pdf,"Transcribe the register of interests for Goward, Pru","Goward, Pru",Goward,Pru
http://interactive.guim.co.uk/australia/2015/jan/33_Grant_Troy.pdf,"Transcribe the register of interests for Grant, Troy","Grant, Troy",Grant,Troy
http://interactive.guim.co.uk/australia/2015/jan/34_Greenwich_Alex.pdf,"Transcribe the register of interests for Greenwich, Alex","Greenwich, Alex",Greenwich,Alex
http://interactive.guim.co.uk/australia/2015/jan/35_Hancock_Shelley.pdf,"Transcribe the register of interests for Hancock, Shelley","Hancock, Shelley",Hancock,Shelley
http://interactive.guim.co.uk/australia/2015/jan/36_Harrison_Jodie.pdf,"Transcribe the register of interests for Harrison, Jodie","Harrison, Jodie",Harrison,Jodie
http://interactive.guim.co.uk/australia/2015/jan/37_Hartcher_Chris.pdf,"Transcribe the register of interests for Hartcher, Chris","Hartcher, Chris",Hartcher,Chris
http://interactive.guim.co.uk/australia/2015/jan/38_Hay_Noreen.pdf,"Transcribe the register of interests for Hay, Noreen","Hay, Noreen",Hay,Noreen
http://interactive.guim.co.uk/australia/2015/jan/39_Hazzard_Brad.pdf,"Transcribe the register of interests for Hazzard, Brad","Hazzard, Brad",Hazzard,Brad
http://interactive.guim.co.uk/australia/2015/jan/3_Ayres_Stuart.pdf,"Transcribe the register of interests for Ayres, Stuart","Ayres, Stuart",Ayres,Stuart
http://interactive.guim.co.uk/australia/2015/jan/40_Hodgkinson_Katrina.pdf,"Transcribe the register of interests for Hodgkinson, Katrina","Hodgkinson, Katrina",Hodgkinson,Katrina
http://interactive.guim.co.uk/australia/2015/jan/41_Hoenig_Ron.pdf,"Transcribe the register of interests for Hoenig, Ron","Hoenig, Ron",Hoenig,Ron
http://interactive.guim.co.uk/australia/2015/jan/42_Holstein_Chris.pdf,"Transcribe the register of interests for Holstein, Chris","Holstein, Chris",Holstein,Chris
http://interactive.guim.co.uk/australia/2015/jan/43_Hornery_Sonia.pdf,"Transcribe the register of interests for Hornery, Sonia","Hornery, Sonia",Hornery,Sonia
http://interactive.guim.co.uk/australia/2015/jan/44_Humphries_Kevin.pdf,"Transcribe the register of interests for Humphries, Kevin","Humphries, Kevin",Humphries,Kevin
http://interactive.guim.co.uk/australia/2015/jan/45_Issa_Tony.pdf,"Transcribe the register of interests for Issa, Tony","Issa, Tony",Issa,Tony
http://interactive.guim.co.uk/australia/2015/jan/46_Kean_Matt.pdf,"Transcribe the register of interests for Kean, Matt","Kean, Matt",Kean,Matt
http://interactive.guim.co.uk/australia/2015/jan/47_Lalich_Nick.pdf,"Transcribe the register of interests for Lalich, Nick","Lalich, Nick",Lalich,Nick
http://interactive.guim.co.uk/australia/2015/jan/48_Lee_Geoff.pdf,"Transcribe the register of interests for Lee, Geoff","Lee, Geoff",Lee,Geoff
http://interactive.guim.co.uk/australia/2015/jan/49_Lynch_Paul.pdf,"Transcribe the register of interests for Lynch, Paul","Lynch, Paul",Lynch,Paul
http://interactive.guim.co.uk/australia/2015/jan/4_Baird_Mike.pdf,"Transcribe the register of interests for Baird, Mike","Baird, Mike",Baird,Mike
http://interactive.guim.co.uk/australia/2015/jan/50_Maguire_Daryl.pdf,"Transcribe the register of interests for Maguire, Daryl","Maguire, Daryl",Maguire,Daryl
http://interactive.guim.co.uk/australia/2015/jan/51_Marshall_Adam.pdf,"Transcribe the register of interests for Marshall, Adam","Marshall, Adam",Marshall,Adam
http://interactive.guim.co.uk/australia/2015/jan/52_McDonald_Andrew.pdf,"Transcribe the register of interests for McDonald, Andrew","McDonald, Andrew",McDonald,Andrew
http://interactive.guim.co.uk/australia/2015/jan/53_Mihailuk_Tania.pdf,"Transcribe the register of interests for Mihailuk, Tania","Mihailuk, Tania",Mihailuk,Tania
